File Name,LineStrings
2872.json,"[[[192.0, 186.0], [192.0, 131.0]], [[192.0, 107.0], [192.0, 53.0]]]"
3760.json,"[[[148.0, 90.0], [103.5, 90.0]]]"
768.json,"[[[163.0, 134.0], [163.0, 80.0]], [[107.0, 62.0], [107.0, 135.5]]]"
3330.json,"[[[132.5, 214.0], [132.5, 95.0]], [[73.0, 95.0], [73.0, 154.0]]]"
338.json,"[[[172.0, 109.0], [172.0, 50.0]], [[108.0, 50.0], [108.0, 110.5]]]"
2171.json,"[[[140.0, 195.0], [140.0, 150.0]], [[97.0, 61.0], [97.0, 108.0]]]"
2521.json,"[[[105.0, 115.5], [105.0, 191.0]], [[154.0, 191.0], [154.0, 148.0]]]"
2034.json,"[[[145.0, 130.0], [145.0, 176.0]]]"
4949.json,"[[[123.0, 136.5], [186.0, 136.5]], [[173.0, 112.0], [123.0, 112.0]], [[65.5, 71.0], [65.5, 151.0]]]"
2464.json,"[[[89.0, 129.0], [89.0, 175.0]], [[131.0, 226.0], [131.0, 159.0]], [[129.0, 129.0], [129.0, 58.0]]]"
2937.json,"[[[55.00000000000001, 151.0], [100.5, 151.0]]]"
1618.json,"[[[175.0, 99.0], [130.0, 99.0]], [[156.5, 197.0], [156.5, 131.5]]]"
3625.json,"[[[141.0, 206.0], [141.0, 137.5]]]"
787.json,"[[[116.0, 63.0], [64.0, 63.0]], [[82.0, 110.0], [136.5, 110.0]]]"
1248.json,"[[[130.0, 221.5], [181.0, 221.5]], [[130.0, 157.0], [130.0, 221.5]], [[181.0, 221.0], [181.0, 163.0]], [[181.0, 139.0], [181.0, 81.0]]]"
3275.json,"[[[131.0, 174.0], [131.0, 114.0]]]"
857.json,"[[[117.0, 104.0], [170.0, 104.0]]]"
1862.json,"[[[111.0, 128.0], [158.0, 128.0]], [[111.0, 198.0], [111.0, 146.0]]]"
154.json,[]
4363.json,"[[[158.0, 56.0], [99.0, 56.0]], [[122.5, 114.0], [122.5, 176.0]]]"
1161.json,[]
4699.json,"[[[165.0, 124.0], [111.0, 124.0]], [[93.0, 182.0], [145.0, 182.0]], [[188.0, 182.0], [188.0, 133.0]], [[188.0, 109.0], [188.0, 61.0]], [[165.0, 79.0], [165.0, 124.0]]]"
504.json,"[[[141.0, 102.0], [83.0, 102.0]]]"
4733.json,"[[[127.0, 192.0], [127.0, 120.5]]]"
1531.json,"[[[173.0, 105.0], [129.5, 105.0]], [[159.5, 198.0], [159.5, 130.5]]]"
3019.json,[]
1024.json,"[[[147.0, 206.0], [147.0, 148.5]]]"
4226.json,"[[[124.5, 136.5], [124.5, 182.0]]]"
3449.json,"[[[133.0, 129.0], [133.0, 180.0]]]"
1474.json,"[[[183.0, 69.0], [140.0, 69.0]], [[127.0, 139.5], [127.0, 191.0]], [[183.0, 191.0], [183.0, 142.0]], [[183.0, 118.0], [183.0, 69.0]]]"
441.json,"[[[132.0, 120.0], [132.0, 71.0]], [[82.0, 53.0], [82.0, 96.0]], [[82.0, 120.0], [82.0, 163.0]]]"
